,"SARIMAX(4,1,2)(0,0,0,48) Predictions",VAR(55),AR(55),Test_Sample
2018-03-28 08:30:00,373.2622896868,207.31547993546062,207.03653293126627,75.0
2018-03-28 09:00:00,394.4828763136087,207.31547964722964,207.03653293210934,176.0
2018-03-28 09:30:00,412.67199186630506,207.31547932857214,207.036532933628,191.0
2018-03-28 10:00:00,427.8295785232845,207.31547899904996,207.0365329357948,200.0
2018-03-28 10:30:00,436.92416521043486,207.31547865027915,207.0365329385713,226.0
2018-03-28 11:00:00,442.98716518026407,207.3154783022958,207.03653294190858,391.0
2018-03-28 11:30:00,449.0502229716977,207.31547794703445,207.03653294574826,306.0
2018-03-28 12:00:00,452.0817518674144,207.31547760459978,207.0365329500235,252.0
2018-03-28 12:30:00,455.1132229415268,207.31547726683317,207.03653295466012,213.0
2018-03-28 13:00:00,458.14475183724363,207.31547695349738,207.0365329595778,148.0
2018-03-28 13:30:00,461.1762807329604,207.31547665593874,207.03653296469173,109.0
2018-03-28 14:00:00,461.1762807329604,207.31547639318993,207.0365329699138,100.0
2018-03-28 14:30:00,461.1762807329604,207.31547615573618,207.03653297515422,95.0
2018-03-28 15:00:00,461.1762807329604,207.31547596154303,207.03653298032313,80.0
2018-03-28 15:30:00,455.1132229415268,207.3154757999302,207.0365329853321,55.0
2018-03-28 16:00:00,452.0817518674144,207.31547568753027,207.0365329900955,44.0
2018-03-28 16:30:00,436.92416521043486,207.31547561227458,207.03653299453222,167.0
2018-03-28 17:00:00,421.7665785534553,207.31547558928756,207.03653299856688,153.0
2018-03-28 17:30:00,421.7665785534553,207.3154756049867,207.0365330021311,102.0
2018-03-28 18:00:00,367.19923189536644,207.31547567291443,207.03653300516478,47.0
2018-03-28 18:30:00,355.0731741341037,207.31547577795413,207.036533007617,12.0
2018-03-28 19:00:00,342.9471163728409,207.31547593209936,207.0365330094469,0.0
2018-03-28 19:30:00,333.85255859649277,207.31547611878452,207.03653301062442,0.0
2018-03-28 20:00:00,324.7580008201446,207.31547634859123,207.03653301113073,0.0
2018-03-28 20:30:00,312.6319430588819,207.31547660369074,207.0365330109585,0.0
2018-03-28 21:00:00,297.47435640190236,207.31547689348363,207.03653301011212,0.0
2018-03-28 21:30:00,288.3797986255542,207.31547719915076,207.03653300860748,0.0
2018-03-28 22:00:00,279.28524084920605,207.31547752922077,207.03653300647173,0.0
2018-03-28 22:30:00,282.31676974492285,207.3154778642243,207.03653300374282,0.0
2018-03-28 23:00:00,282.31676974492285,207.31547821218427,207.03653300046875,0.0
2018-03-28 23:30:00,273.2222119685747,207.3154785533665,207.03653299670682,0.0
2018-03-29 00:00:00,264.12765419222654,207.31547889568597,207.03653299252247,0.0
2018-03-29 00:30:00,261.09612529650974,207.31547921954683,207.03653298798835,0.0
2018-03-29 01:00:00,261.09612529650974,207.3154795331583,207.03653298318295,0.0
2018-03-29 01:30:00,261.09612529650974,207.31547981745695,207.03653297818917,0.0
2018-03-29 02:00:00,261.09612529650974,207.3154800813259,207.03653297309305,0.0
